,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,316.44,322.83,319.64,319,319,319.64,아랍에미리트,디르함,20200109
1,1,AUD,798.13,814.26,806.2,806,806,806.2,호주,달러,20200109
2,1,BHD,"3,082.93","3,145.22","3,114.08",3114,"3,114","3,114.08",바레인,디나르,20200109
3,1,BND,860.42,877.81,869.12,869,869,869.12,브루나이,달러,20200109
4,1,CAD,891.62,909.63,900.63,900,900,900.63,캐나다,달러,20200109
5,1,CHF,"1,193.81","1,217.92","1,205.87",1205,"1,205","1,205.87",스위스,프랑,20200109
6,1,CNH,167.04,170.41,168.73,168,168,168.73,위안화,,20200109
7,1,DKK,172.78,176.27,174.53,174,174,174.53,덴마아크,크로네,20200109
8,1,EUR,"1,291.2","1,317.29","1,304.25",1304,"1,304","1,304.25",유로,,20200109
9,1,GBP,"1,522.97","1,553.74","1,538.36",1538,"1,538","1,538.36",영국,파운드,20200109
10,1,HKD,149.49,152.51,151,151,151,151,홍콩,달러,20200109
11,1,IDR(100),8.36,8.53,8.45,8,8,8.45,인도네시아,루피아,20200109
12,1,JPY(100),"1,065.35","1,086.88","1,076.12",1076,"1,076","1,076.12",일본,옌,20200109
13,1,KRW,0,0,1,1,1,1,한국,원,20200109
14,1,KWD,"3,831.99","3,909.4","3,870.7",3870,"3,870","3,870.7",쿠웨이트,디나르,20200109
15,1,MYR,283.39,289.12,286.26,286,286,286.26,말레이지아,링기트,20200109
16,1,NOK,131.09,133.74,132.42,132,132,132.42,노르웨이,크로네,20200109
17,1,NZD,772.79,788.4,780.6,780,780,780.6,뉴질랜드,달러,20200109
18,1,SAR,309.85,316.1,312.98,312,312,312.98,사우디,리얄,20200109
19,1,SEK,122.91,125.4,124.16,124,124,124.16,스웨덴,크로나,20200109
20,1,SGD,860.42,877.81,869.12,869,869,869.12,싱가포르,달러,20200109
21,1,THB,38.31,39.08,38.7,38,38,38.7,태국,바트,20200109
22,1,USD,"1,162.35","1,185.84","1,174.1",1174,"1,174","1,174.1",미국,달러,20200109
