,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,312.65,318.96,315.81,315,315,315.81,아랍에미리트,디르함,20200110
1,1,AUD,787.34,803.25,795.3,795,795,795.3,호주,달러,20200110
2,1,BHD,"3,045.99","3,107.52","3,076.76",3076,"3,076","3,076.76",바레인,디나르,20200110
3,1,BND,849.87,867.04,858.46,858,858,858.46,브루나이,달러,20200110
4,1,CAD,879.45,897.22,888.34,888,888,888.34,캐나다,달러,20200110
5,1,CHF,"1,180.2","1,204.05","1,192.13",1192,"1,192","1,192.13",스위스,프랑,20200110
6,1,CNH,165.82,169.17,167.5,167,167,167.5,위안화,,20200110
7,1,DKK,170.68,174.13,172.41,172,172,172.41,덴마아크,크로네,20200110
8,1,EUR,"1,275.58","1,301.35","1,288.47",1288,"1,288","1,288.47",유로,,20200110
9,1,GBP,"1,500.84","1,531.16","1,516",1516,"1,516","1,516",영국,파운드,20200110
10,1,HKD,147.84,150.83,149.34,149,149,149.34,홍콩,달러,20200110
11,1,IDR(100),8.29,8.46,8.38,8,8,8.38,인도네시아,루피아,20200110
12,1,JPY(100),"1,049","1,070.19","1,059.6",1059,"1,059","1,059.6",일본,옌,20200110
13,1,KRW,0,0,1,1,1,1,한국,원,20200110
14,1,KWD,"3,783.73","3,860.16","3,821.95",3821,"3,821","3,821.95",쿠웨이트,디나르,20200110
15,1,MYR,280.74,286.41,283.58,283,283,283.58,말레이지아,링기트,20200110
16,1,NOK,129.3,131.91,130.61,130,130,130.61,노르웨이,크로네,20200110
17,1,NZD,759.26,774.59,766.93,766,766,766.93,뉴질랜드,달러,20200110
18,1,SAR,306.12,312.31,309.22,309,309,309.22,사우디,리얄,20200110
19,1,SEK,121.01,123.46,122.24,122,122,122.24,스웨덴,크로나,20200110
20,1,SGD,849.87,867.04,858.46,858,858,858.46,싱가포르,달러,20200110
21,1,THB,37.96,38.73,38.35,38,38,38.35,태국,바트,20200110
22,1,USD,"1,148.4","1,171.6","1,160",1160,"1,160","1,160",미국,달러,20200110
