,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,312.05,318.36,315.21,315,315,315.21,아랍에미리트,디르함,20200102
1,1,AUD,804.24,820.49,812.37,812,812,812.37,호주,달러,20200102
2,1,BHD,"3,040.29","3,101.72","3,071.01",3071,"3,071","3,071.01",바레인,디나르,20200102
3,1,BND,852.27,869.48,860.88,860,860,860.88,브루나이,달러,20200102
4,1,CAD,883.26,901.11,892.19,892,892,892.19,캐나다,달러,20200102
5,1,CHF,"1,185.33","1,209.28","1,197.31",1197,"1,197","1,197.31",스위스,프랑,20200102
6,1,CNH,164.08,167.39,165.74,165,165,165.74,위안화,,20200102
7,1,DKK,172.14,175.61,173.88,173,173,173.88,덴마아크,크로네,20200102
8,1,EUR,"1,286.11","1,312.1","1,299.11",1299,"1,299","1,299.11",유로,,20200102
9,1,GBP,"1,519.77","1,550.48","1,535.13",1535,"1,535","1,535.13",영국,파운드,20200102
10,1,HKD,147.09,150.06,148.58,148,148,148.58,홍콩,달러,20200102
11,1,IDR(100),8.25,8.42,8.34,8,8,8.34,인도네시아,루피아,20200102
12,1,JPY(100),"1,055.01","1,076.32","1,065.67",1065,"1,065","1,065.67",일본,옌,20200102
13,1,KRW,0,0,1,1,1,1,한국,원,20200102
14,1,KWD,"3,781.03","3,857.42","3,819.23",3819,"3,819","3,819.23",쿠웨이트,디나르,20200102
15,1,MYR,280.21,285.88,283.05,283,283,283.05,말레이지아,링기트,20200102
16,1,NOK,130.6,133.23,131.92,131,131,131.92,노르웨이,크로네,20200102
17,1,NZD,772.09,787.68,779.89,779,779,779.89,뉴질랜드,달러,20200102
18,1,SAR,305.55,311.72,308.64,308,308,308.64,사우디,리얄,20200102
19,1,SEK,122.65,125.12,123.89,123,123,123.89,스웨덴,크로나,20200102
20,1,SGD,852.27,869.48,860.88,860,860,860.88,싱가포르,달러,20200102
21,1,THB,38.5,39.27,38.89,38,38,38.89,태국,바트,20200102
22,1,USD,"1,146.22","1,169.37","1,157.8",1157,"1,157","1,157.8",미국,달러,20200102
