,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,312.54,318.85,315.7,315,315,315.7,아랍에미리트,디르함,20200117
1,1,AUD,791.83,807.82,799.83,799,799,799.83,호주,달러,20200117
2,1,BHD,"3,045.02","3,106.53","3,075.78",3075,"3,075","3,075.78",바레인,디나르,20200117
3,1,BND,852.3,869.51,860.91,860,860,860.91,브루나이,달러,20200117
4,1,CAD,880.13,897.92,889.03,889,889,889.03,캐나다,달러,20200117
5,1,CHF,"1,189.51","1,213.54","1,201.53",1201,"1,201","1,201.53",스위스,프랑,20200117
6,1,CNH,166.66,170.03,168.35,168,168,168.35,위안화,,20200117
7,1,DKK,171.09,174.54,172.82,172,172,172.82,덴마아크,크로네,20200117
8,1,EUR,"1,278.47","1,304.3","1,291.39",1291,"1,291","1,291.39",유로,,20200117
9,1,GBP,"1,501.41","1,531.74","1,516.58",1516,"1,516","1,516.58",영국,파운드,20200117
10,1,HKD,147.68,150.67,149.18,149,149,149.18,홍콩,달러,20200117
11,1,IDR(100),8.42,8.59,8.51,8,8,8.51,인도네시아,루피아,20200117
12,1,JPY(100),"1,041.79","1,062.84","1,052.32",1052,"1,052","1,052.32",일본,옌,20200117
13,1,KRW,0,0,1,1,1,1,한국,원,20200117
14,1,KWD,"3,784.79","3,861.26","3,823.03",3823,"3,823","3,823.03",쿠웨이트,디나르,20200117
15,1,MYR,282.51,288.22,285.37,285,285,285.37,말레이지아,링기트,20200117
16,1,NOK,129.13,131.74,130.44,130,130,130.44,노르웨이,크로네,20200117
17,1,NZD,761.69,777.08,769.39,769,769,769.39,뉴질랜드,달러,20200117
18,1,SAR,306,312.19,309.1,309,309,309.1,사우디,리얄,20200117
19,1,SEK,120.96,123.41,122.19,122,122,122.19,스웨덴,크로나,20200117
20,1,SGD,852.3,869.51,860.91,860,860,860.91,싱가포르,달러,20200117
21,1,THB,37.78,38.55,38.17,38,38,38.17,태국,바트,20200117
22,1,USD,"1,148","1,171.19","1,159.6",1159,"1,159","1,159.6",미국,달러,20200117
