,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,311.48,317.77,314.63,314,314,314.63,아랍에미리트,디르함,20200114
1,1,AUD,789.57,805.52,797.55,797,797,797.55,호주,달러,20200114
2,1,BHD,"3,034.69","3,096","3,065.35",3065,"3,065","3,065.35",바레인,디나르,20200114
3,1,BND,849.71,866.88,858.3,858,858,858.3,브루나이,달러,20200114
4,1,CAD,876.53,894.24,885.39,885,885,885.39,캐나다,달러,20200114
5,1,CHF,"1,178.61","1,202.42","1,190.52",1190,"1,190","1,190.52",스위스,프랑,20200114
6,1,CNH,165.69,169.04,167.37,167,167,167.37,위안화,,20200114
7,1,DKK,170.48,173.93,172.21,172,172,172.21,덴마아크,크로네,20200114
8,1,EUR,"1,274.06","1,299.79","1,286.93",1286,"1,286","1,286.93",유로,,20200114
9,1,GBP,"1,486.23","1,516.26","1,501.25",1501,"1,501","1,501.25",영국,파운드,20200114
10,1,HKD,147.21,150.18,148.7,148,148,148.7,홍콩,달러,20200114
11,1,IDR(100),8.37,8.54,8.46,8,8,8.46,인도네시아,루피아,20200114
12,1,JPY(100),"1,040.83","1,061.86","1,051.35",1051,"1,051","1,051.35",일본,옌,20200114
13,1,KRW,0,0,1,1,1,1,한국,원,20200114
14,1,KWD,"3,770.19","3,846.36","3,808.28",3808,"3,808","3,808.28",쿠웨이트,디나르,20200114
15,1,MYR,281.77,287.46,284.62,284,284,284.62,말레이지아,링기트,20200114
16,1,NOK,128.7,131.3,130,130,130,130,노르웨이,크로네,20200114
17,1,NZD,758.44,773.77,766.11,766,766,766.11,뉴질랜드,달러,20200114
18,1,SAR,304.97,311.14,308.06,308,308,308.06,사우디,리얄,20200114
19,1,SEK,120.86,123.31,122.09,122,122,122.09,스웨덴,크로나,20200114
20,1,SGD,849.71,866.88,858.3,858,858,858.3,싱가포르,달러,20200114
21,1,THB,37.9,38.67,38.29,38,38,38.29,태국,바트,20200114
22,1,USD,"1,144.14","1,167.25","1,155.7",1155,"1,155","1,155.7",미국,달러,20200114
