,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,312.32,318.63,315.48,315,315,315.48,아랍에미리트,디르함,20200116
1,1,AUD,791.98,807.97,799.98,799,799,799.98,호주,달러,20200116
2,1,BHD,"3,042.92","3,104.39","3,073.66",3073,"3,073","3,073.66",바레인,디나르,20200116
3,1,BND,852.25,869.46,860.86,860,860,860.86,브루나이,달러,20200116
4,1,CAD,879.56,897.33,888.45,888,888,888.45,캐나다,달러,20200116
5,1,CHF,"1,190.29","1,214.34","1,202.32",1202,"1,202","1,202.32",스위스,프랑,20200116
6,1,CNH,166.32,169.68,168,168,168,168,위안화,,20200116
7,1,DKK,171.18,174.63,172.91,172,172,172.91,덴마아크,크로네,20200116
8,1,EUR,"1,279.31","1,305.16","1,292.24",1292,"1,292","1,292.24",유로,,20200116
9,1,GBP,"1,496.24","1,526.47","1,511.36",1511,"1,511","1,511.36",영국,파운드,20200116
10,1,HKD,147.61,150.6,149.11,149,149,149.11,홍콩,달러,20200116
11,1,IDR(100),8.39,8.56,8.48,8,8,8.48,인도네시아,루피아,20200116
12,1,JPY(100),"1,043.82","1,064.91","1,054.37",1054,"1,054","1,054.37",일본,옌,20200116
13,1,KRW,0,0,1,1,1,1,한국,원,20200116
14,1,KWD,"3,781.68","3,858.07","3,819.88",3819,"3,819","3,819.88",쿠웨이트,디나르,20200116
15,1,MYR,281.76,287.45,284.61,284,284,284.61,말레이지아,링기트,20200116
16,1,NOK,129.47,132.08,130.78,130,130,130.78,노르웨이,크로네,20200116
17,1,NZD,758.99,774.32,766.66,766,766,766.66,뉴질랜드,달러,20200116
18,1,SAR,305.79,311.96,308.88,308,308,308.88,사우디,리얄,20200116
19,1,SEK,121.21,123.66,122.44,122,122,122.44,스웨덴,크로나,20200116
20,1,SGD,852.25,869.46,860.86,860,860,860.86,싱가포르,달러,20200116
21,1,THB,37.84,38.61,38.23,38,38,38.23,태국,바트,20200116
22,1,USD,"1,147.21","1,170.38","1,158.8",1158,"1,158","1,158.8",미국,달러,20200116
