,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,311.81,318.1,314.96,314,314,314.96,아랍에미리트,디르함,20200103
1,1,AUD,799.95,816.12,808.04,808,808,808.04,호주,달러,20200103
2,1,BHD,"3,037.93","3,099.3","3,068.62",3068,"3,068","3,068.62",바레인,디나르,20200103
3,1,BND,850.06,867.23,858.65,858,858,858.65,브루나이,달러,20200103
4,1,CAD,881.97,899.78,890.88,890,890,890.88,캐나다,달러,20200103
5,1,CHF,"1,178.93","1,202.74","1,190.84",1190,"1,190","1,190.84",스위스,프랑,20200103
6,1,CNH,164.45,167.78,166.12,166,166,166.12,위안화,,20200103
7,1,DKK,171.25,174.7,172.98,172,172,172.98,덴마아크,크로네,20200103
8,1,EUR,"1,279.73","1,305.58","1,292.66",1292,"1,292","1,292.66",유로,,20200103
9,1,GBP,"1,505.25","1,535.66","1,520.46",1520,"1,520","1,520.46",영국,파운드,20200103
10,1,HKD,147.05,150.02,148.54,148,148,148.54,홍콩,달러,20200103
11,1,IDR(100),8.24,8.41,8.33,8,8,8.33,인도네시아,루피아,20200103
12,1,JPY(100),"1,054.87","1,076.18","1,065.53",1065,"1,065","1,065.53",일본,옌,20200103
13,1,KRW,0,0,1,1,1,1,한국,원,20200103
14,1,KWD,"3,777.22","3,853.53","3,815.38",3815,"3,815","3,815.38",쿠웨이트,디나르,20200103
15,1,MYR,280.19,285.86,283.03,283,283,283.03,말레이지아,링기트,20200103
16,1,NOK,130.23,132.86,131.55,131,131,131.55,노르웨이,크로네,20200103
17,1,NZD,767.03,782.52,774.78,774,774,774.78,뉴질랜드,달러,20200103
18,1,SAR,305.33,311.5,308.42,308,308,308.42,사우디,리얄,20200103
19,1,SEK,122.3,124.77,123.54,123,123,123.54,스웨덴,크로나,20200103
20,1,SGD,850.06,867.23,858.65,858,858,858.65,싱가포르,달러,20200103
21,1,THB,37.98,38.75,38.37,38,38,38.37,태국,바트,20200103
22,1,USD,"1,145.33","1,168.46","1,156.9",1156,"1,156","1,156.9",미국,달러,20200103
