,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,310.79,317.06,313.93,313,313,313.93,아랍에미리트,디르함,20200115
1,1,AUD,787.85,803.76,795.81,795,795,795.81,호주,달러,20200115
2,1,BHD,"3,027.95","3,089.12","3,058.54",3058,"3,058","3,058.54",바레인,디나르,20200115
3,1,BND,847.4,864.51,855.96,855,855,855.96,브루나이,달러,20200115
4,1,CAD,873.93,891.58,882.76,882,882,882.76,캐나다,달러,20200115
5,1,CHF,"1,180.04","1,203.87","1,191.96",1191,"1,191","1,191.96",스위스,프랑,20200115
6,1,CNH,166.03,169.38,167.71,167,167,167.71,위안화,,20200115
7,1,DKK,169.98,173.41,171.7,171,171,171.7,덴마아크,크로네,20200115
8,1,EUR,"1,270.27","1,295.94","1,283.11",1283,"1,283","1,283.11",유로,,20200115
9,1,GBP,"1,486.32","1,516.35","1,501.34",1501,"1,501","1,501.34",영국,파운드,20200115
10,1,HKD,146.79,149.76,148.28,148,148,148.28,홍콩,달러,20200115
11,1,IDR(100),8.35,8.52,8.44,8,8,8.44,인도네시아,루피아,20200115
12,1,JPY(100),"1,037.93","1,058.9","1,048.42",1048,"1,048","1,048.42",일본,옌,20200115
13,1,KRW,0,0,1,1,1,1,한국,원,20200115
14,1,KWD,"3,762.46","3,838.47","3,800.47",3800,"3,800","3,800.47",쿠웨이트,디나르,20200115
15,1,MYR,280.17,285.83,283,283,283,283,말레이지아,링기트,20200115
16,1,NOK,128.61,131.2,129.91,129,129,129.91,노르웨이,크로네,20200115
17,1,NZD,755.03,770.28,762.66,762,762,762.66,뉴질랜드,달러,20200115
18,1,SAR,304.27,310.42,307.35,307,307,307.35,사우디,리얄,20200115
19,1,SEK,120.61,123.04,121.83,121,121,121.83,스웨덴,크로나,20200115
20,1,SGD,847.4,864.51,855.96,855,855,855.96,싱가포르,달러,20200115
21,1,THB,37.7,38.47,38.09,38,38,38.09,태국,바트,20200115
22,1,USD,"1,141.56","1,164.63","1,153.1",1153,"1,153","1,153.1",미국,달러,20200115
