,결과,통화 코드,송금 받으실때,송금 보낼때,매매기준율,장부가격,서울장부가격,서울매매기준율,국가,국가화폐,날짜
0,1,AED,313.37,319.7,316.54,316,316,316.54,아랍에미리트,디르함,20200106
1,1,AUD,798.49,814.62,806.56,806,806,806.56,호주,달러,20200106
2,1,BHD,"3,053","3,114.67","3,083.84",3083,"3,083","3,083.84",바레인,디나르,20200106
3,1,BND,852.3,869.51,860.91,860,860,860.91,브루나이,달러,20200106
4,1,CAD,886.42,904.33,895.38,895,895,895.38,캐나다,달러,20200106
5,1,CHF,"1,185.08","1,209.03","1,197.06",1197,"1,197","1,197.06",스위스,프랑,20200106
6,1,CNH,164.98,168.31,166.65,166,166,166.65,위안화,,20200106
7,1,DKK,171.95,175.42,173.69,173,173,173.69,덴마아크,크로네,20200106
8,1,EUR,"1,285.16","1,311.13","1,298.15",1298,"1,298","1,298.15",유로,,20200106
9,1,GBP,"1,504.9","1,535.31","1,520.11",1520,"1,520","1,520.11",영국,파운드,20200106
10,1,HKD,147.95,150.94,149.45,149,149,149.45,홍콩,달러,20200106
11,1,IDR(100),8.26,8.43,8.35,8,8,8.35,인도네시아,루피아,20200106
12,1,JPY(100),"1,067.63","1,089.2","1,078.42",1078,"1,078","1,078.42",일본,옌,20200106
13,1,KRW,0,0,1,1,1,1,한국,원,20200106
14,1,KWD,"3,798.04","3,874.77","3,836.41",3836,"3,836","3,836.41",쿠웨이트,디나르,20200106
15,1,MYR,280.61,286.28,283.45,283,283,283.45,말레이지아,링기트,20200106
16,1,NOK,130.36,132.99,131.68,131,131,131.68,노르웨이,크로네,20200106
17,1,NZD,766.15,781.62,773.89,773,773,773.89,뉴질랜드,달러,20200106
18,1,SAR,306.78,312.97,309.88,309,309,309.88,사우디,리얄,20200106
19,1,SEK,122.38,124.85,123.62,123,123,123.62,스웨덴,크로나,20200106
20,1,SGD,852.3,869.51,860.91,860,860,860.91,싱가포르,달러,20200106
21,1,THB,38.14,38.91,38.53,38,38,38.53,태국,바트,20200106
22,1,USD,"1,151.07","1,174.32","1,162.7",1162,"1,162","1,162.7",미국,달러,20200106
